,at-flux,gal_num,ned_name,u-r,re,type_m
428,at_flux__yx,K3022,NGC3786,4.94,17.423999786,4
429,at_flux__yx,K3027,NGC3800,2.29,13.067999839,5
430,at_flux__yx,K3028,NGC3798,2.45,9.8999996185,0
431,at_flux__yx,K3030,NGC3801,3.02,21.384000778,0
432,at_flux__yx,K3034,NGC3805,2.81,11.880000114,4
433,at_flux__yx,K3038,NGC3812,2.8,9.8999996185,3
434,at_flux__yx,K3039,NGC3809,2.66,9.50399971,0
435,at_flux__yx,K3040,NGC3811,2.3,17.027999877,-1
436,at_flux__yx,K4027,NGC3815,2.04,10.295999527,4
437,at_flux__yx,K4031,UGC06653,2.27,5.9400000572,3
438,at_flux__yx,K4034,NGC3816,2.69,13.859999656,3
